INFO: setting server port as: 3000
INFO: Waiting for incoming connection...
[#WORKER#] 1695841800.903365 Worker Thread Alive!
R43:226642.977757,0.223841,226642.977855,226643.201705
R44:226643.021206,0.116050,226643.201809,226643.317864
R45:226643.093184,0.088829,226643.317989,226643.406827
R46:226643.615646,0.195670,226643.615711,226643.811385
R47:226643.794225,0.257662,226643.811457,226644.069129
R48:226643.890810,0.168614,226644.069318,226644.237934
R49:226643.975616,0.241880,226644.238031,226644.479914
R50:226644.167835,0.024312,226644.479992,226644.504309
R51:226644.277708,0.252733,226644.504389,226644.757129
[#WORKER#] 1695841809.909232 Still Alive!
R52:226644.777900,0.212915,226644.777943,226644.990861
R53:226644.804571,0.056555,226644.990925,226645.047486
R54:226644.975408,0.032998,226645.047561,226645.080560
R55:226645.136580,0.036739,226645.136647,226645.173389
R56:226645.393643,0.025632,226645.393719,226645.419354
R57:226645.492469,0.032329,226645.492536,226645.524867
R58:226645.527152,0.053871,226645.527192,226645.581066
R59:226645.662716,0.237305,226645.662769,226645.900078
R60:226645.693753,0.013476,226645.900165,226645.913643
R61:226645.711944,0.142910,226645.913696,226646.056608
R62:226645.826033,0.273343,226646.056696,226646.330042
R63:226646.523370,0.048319,226646.523527,226646.571854
R64:226646.715723,0.045992,226646.715776,226646.761770
[#WORKER#] 1695841811.910627 Still Alive!
R65:226646.946704,0.026431,226646.946778,226646.973212
R66:226647.004862,0.028026,226647.004936,226647.032967
R67:226647.151322,0.131732,226647.151400,226647.283139
R68:226647.178940,0.157731,226647.283765,226647.441501
R69:226647.201311,0.136677,226647.441615,226647.578293
R70:226647.231208,0.299782,226647.578325,226647.878109
R71:226647.244140,0.073723,226647.878217,226647.951942
R72:226647.253156,0.027452,226647.952062,226647.979519
R73:226647.285505,0.131921,226647.979577,226648.111500
R74:226647.551964,0.342360,226648.111565,226648.453928
R75:226647.730151,0.142601,226648.454020,226648.596623
R76:226647.900253,0.014491,226648.596702,226648.611195
R77:226647.916696,0.008146,226648.611247,226648.619395
R78:226648.039171,0.022898,226648.619452,226648.642352
R79:226648.051288,0.171301,226648.642422,226648.813727
[#WORKER#] 1695841813.911834 Still Alive!
R80:226648.154480,0.140887,226648.813817,226648.954706
R81:226648.296525,0.017175,226648.954760,226648.971936
R82:226648.305452,0.022857,226648.971971,226648.994829
